StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_BallotBoxStuffing,Q5,Q6,Q8,Q9,Q10,Q16,Q17,Q18,Q11,Q12,Q13,Q14,Q3,Q3_4_TEXT,Q4,Q20,SC0,Score
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_BallotBoxStuffing,I like snakes.,I have heard of the timber rattlesnake.,I am knowledgeable about the timber rattlesnake.,"If I were to encounter a timber rattlesnake in the wild, I would be concerned.",I am invested in the wellbeing of the timber rattlesnake.,The next 2 questions involve looking at pictures of snakes. These questions are optional. Are you comfortable answering the next 2 questions?,Please select all of the snakes that are native to the Algonquin to Adirondacks region.,Which one of these snakes is a timber rattlesnake?,I feel saddened by the loss of natural ecosystems.,I believe all organisms have intrinsic value.,Some organisms hold more value to me than others.,Global biodiversity declines affect me.,What is your gender? - Selected Choice,What is your gender? - Gender not listed - Text,What is your age?,Would you like to be entered in the raffle for a $25 gift card survey?,Score,Score
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_4_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID20""}","{""ImportId"":""SC_5aop4894e2yvPpQ""}","{""ImportId"":""Score""}"
2025-03-13 12:28:31,2025-03-13 12:29:04,IP Address,69.6.120.80,100,33,True,2025-03-13 12:29:05,R_6av5dGu4rHavUYx,,,,,44.5928,-75.1726,anonymous,EN,1,true,Somewhat disagree,No,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,"No, I would rather skip these questions.",,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Woman,,26 - 32,Yes,12,12
2025-03-14 12:20:36,2025-03-14 12:21:52,IP Address,174.112.44.84,100,75,True,2025-03-14 12:21:52,R_32bF1tNnfbhJcp6,,,,,45.2881,-75.8572,anonymous,EN,0.8999999761581421,,Strongly disagree,Yes,Somewhat agree,Somewhat agree,Somewhat agree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_SqhUYCgOPt3dpo8,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Woman,,18 - 25,Yes,12,12
2025-03-14 12:25:31,2025-03-14 12:29:44,IP Address,166.194.188.133,100,253,True,2025-03-14 12:29:45,R_3QE0Vh3uFA4BoJy,,,,,43.1061,-75.2336,anonymous,EN,0.8999999761581421,,Neither agree nor disagree,Yes,Somewhat disagree,Somewhat agree,Neither agree nor disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Woman,,26 - 32,Yes,12,12
2025-03-14 13:04:01,2025-03-14 13:09:27,IP Address,98.97.18.82,100,325,True,2025-03-14 13:09:27,R_3iX7FxLqocxxqaR,,,,,40.7126,-74.0066,anonymous,EN,1,,Neither agree nor disagree,Yes,Strongly disagree,Strongly agree,Neither agree nor disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_XlMlczVqhMZo0zG,IM_zLbGdV01rxORYdo,1",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Man,,18 - 25,Yes,12,12
2025-03-14 13:20:08,2025-03-14 13:21:57,IP Address,69.6.119.182,100,108,True,2025-03-14 13:21:58,R_1gwJRpN0pfmQNU6,,,,,44.5928,-75.1726,anonymous,EN,1,,Strongly disagree,No,Strongly disagree,Somewhat agree,Neither agree nor disagree,"Yes, I will proceed with questions that include pictures of snakes.",IM_2lGxsiH4vRe9cG9,IM_9BwARSdPzIIprKK,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Man,,33 - 50,Yes,12,12
2025-03-14 13:48:50,2025-03-14 13:51:14,IP Address,204.186.3.226,100,143,True,2025-03-14 13:51:14,R_1NC6h87b3QsRVZf,,,,,40.8957,-75.3235,anonymous,EN,1,,Somewhat agree,Yes,Somewhat agree,Somewhat agree,Strongly agree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_XlMlczVqhMZo0zG,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Man,,50+,No,12,12
2025-03-14 14:45:28,2025-03-14 14:47:37,IP Address,69.6.101.114,100,129,True,2025-03-14 14:47:38,R_31Bn4mY4JBLjEq9,,,,,44.5928,-75.1726,anonymous,EN,1,,Neither agree nor disagree,Yes,Somewhat disagree,Strongly agree,Neither agree nor disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo,1",IM_zLbGdV01rxORYdo,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Man,,18 - 25,No,12,12
2025-03-14 14:45:51,2025-03-14 14:47:48,IP Address,69.6.101.98,100,116,True,2025-03-14 14:47:48,R_5aQWqLqaNDRwCDz,,,,,44.5928,-75.1726,anonymous,EN,1,,Strongly disagree,Yes,Strongly disagree,Strongly agree,Somewhat disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Woman,,26 - 32,No,12,12
